1-H-1 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#          NAN (+/-       NAN)   |     3.33E-01  (+/-  7.00E-04)
# EXFOR data mean
#     3.01E+00 (+/-  2.36E-01)
# EXFOR MXW/SPA data mean
#     3.11E-01 (+/-  6.23E-03)
# ------ EXFOR data ------
  dataset   firstauthor  year    sf4 sf8 sf9       en  den    ydata   yddata
 13845002      G.A.Fink  1936  1-H-2  --  -- 2.53E-02  NAN 3.80E+01 3.00E+00
 12651002    A.H.Spees+  1938  1-H-2  --  -- 2.53E-02  NAN 2.60E-01 2.00E-02
 12647002   L.G.Schulz+  1945  1-H-2  --  -- 2.53E-02  NAN 3.07E-01      NAN
 21371003     A.R.Baker  1958  1-H-2  --  -- 2.53E-02  NAN 3.27E-01 4.35E-03
 11028002  J.W.Meadows+  1961  1-H-2  --  -- 2.53E-02  NAN 3.35E-01 5.00E-03
 13853002       M.Reier  1961  1-H-2  --  -- 2.53E-02  NAN 3.28E-01 6.00E-03
 30003002      R.Bayer+  1961  1-H-2  --  -- 2.53E-02  NAN 3.35E-01 8.00E-03
 30002002     Z.Dlouhy+  1962  1-H-2  --  -- 2.53E-02  NAN 3.28E-01 6.00E-03
 30002002     Z.Dlouhy+  1962  1-H-2  --  -- 2.53E-02  NAN 3.22E-01 6.00E-03
 21460002      A.E.Cox+  1965  1-H-2  --  -- 2.53E-02  NAN 3.34E-01 5.00E-04
 30001002        L.Pal+  1965  1-H-2  --  -- 2.53E-02  NAN 3.33E-01 3.00E-03
 30004002      R.Bayer+  1969  1-H-2  --  -- 2.53E-02  NAN 3.36E-01 8.20E-03
 10665002    D.Cokinos+  1977  1-H-2  --  -- 2.53E-02  NAN 3.33E-01 7.00E-04
 30551003   J.V.Lolich+  1980  1-H-2  --  -- 2.53E-02  NAN 3.29E-01 2.00E-03
# ------ MXW/SPA data ------
  dataset       firstauthor  year    sf4  sf8 sf9       en  den    ydata   yddata
 12649003         D.M.Yost+  1936  1-H-2  MXW  -- 2.53E-02  NAN 7.30E-02      NAN
 11137002         J.Manley+  1942  1-H-2  MXW  -- 2.53E-02  NAN 3.30E-01 2.00E-02
 11064002     B.Hammermesh+  1953  1-H-2  MXW  -- 2.53E-02  NAN 3.29E-01 4.00E-03
 11067002         S.Harris+  1953  1-H-2  MXW  -- 2.53E-02  NAN 3.32E-01 7.00E-03
 20100002     G.Von dardel+  1953  1-H-2  MXW  -- 2.53E-02  NAN 3.21E-01 5.00E-03
 11077002          F.Scott+  1954  1-H-2  MXW  -- 2.53E-02  NAN 3.23E-01 8.00E-03
 20102002     G.Von dardel+  1954  1-H-2  MXW  -- 2.53E-02  NAN 3.33E-01 3.00E-03
 21469006       J.D.Cummins  1957  1-H-2  MXW  -- 2.53E-02  NAN 3.34E-01 2.00E-03
 22537002           W.H.Dio  1958  1-H-2  MXW  -- 2.53E-02  NAN 3.36E-01 6.00E-03
 22537003           W.H.Dio  1958  1-H-2  MXW  -- 2.53E-02  NAN 3.28E-01 6.00E-03
 11102002  R.W.Stooksberry+  1959  1-H-2  MXW  -- 2.53E-02  NAN 3.30E-01 8.00E-03
 20023002   N.G.Sjoestrand+  1959  1-H-2  MXW  -- 2.53E-02  NAN 3.37E-01 5.00E-03
 21451002       M.J.Harris+  1965  1-H-2  MXW  -- 2.53E-02  NAN 3.26E-01 3.00E-03
 20078002          J.Elkert  1968  1-H-2  MXW  -- 2.53E-02  NAN 3.28E-01 4.00E-03
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year    sf4  sf8    sf9       en  den    ydata   yddata
 13847002      W.M.Lopez+  1962  1-H-2  MXW  DERIV 2.53E-02  NAN 3.25E-01 2.00E-03
 13844002        E.Starr+  1962  1-H-2  SPA  DERIV 2.53E-02  NAN 3.27E-01 1.60E-03
 V0042002       E.J.Axton  1986  1-H-2   --   EVAL 2.53E-02  NAN 3.33E-01 7.00E-04
 V1001002  S.F.Mughabghab  2006  1-H-2   --  RECOM 2.53E-02  NAN 3.33E-01 7.00E-04



1-H-2 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     5.08E-04 (+/-  1.50E-05)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     4.99E-04 (+/-  1.82E-05)
# EXFOR MXW/SPA data mean
#     6.30E-04 (+/-  6.10E-05)
# ------ EXFOR data ------
  dataset      firstauthor  year    sf4 sf8 sf9       en  den    ydata   yddata
 11030002     J.S.Merritt+  1968  1-H-3  --  -- 2.53E-02  NAN 5.21E-04 9.00E-06
 11030003     J.S.Merritt+  1968  1-H-3  --  -- 2.53E-02  NAN 5.06E-04 1.00E-05
 20460002        M.G.Silk+  1969  1-H-3  --  -- 2.53E-02  NAN 5.23E-04 2.90E-05
 40586002  V.P.Alfimenkov+  1980  1-H-3  --  -- 2.53E-02  NAN 4.76E-04 2.00E-05
 40586004  V.P.Alfimenkov+  1980  1-H-3  --  -- 2.53E-02  NAN 4.78E-04 3.50E-05
 23296027   R.B.Firestone+  2016  1-H-3  --  -- 2.53E-02  NAN 4.89E-04 6.00E-06
# ------ MXW/SPA data ------
  dataset   firstauthor  year    sf4  sf8 sf9       en  den    ydata   yddata
 11157002  B.W.Sargent+  1947  1-H-3  MXW  -- 2.53E-02  NAN 9.20E-04 2.20E-04
 11133002     E.Jurney+  1963  1-H-3  MXW  -- 2.53E-02  NAN 6.00E-04 5.00E-05
